,gen,nevals,mean_training_error,std_training_error,min_training_error,max_training_error,testing_error,std_testing_error,avg_size,elite_size
58,58,419.84,50202654.506274,5173989811.7902565,13.117632799999999,21354482988.5594,14.0474152,25.787273581823268,73.06884,77.26
59,59,419.68,2219239635213.6987,350474653524769.8,13.040554,1109616862257079.8,13.9880142,25.504998217247536,74.04468,82.76
60,60,418.66,3500677304081.4546,552936289772742.1,12.851924,1750336614114089.8,13.7319644,25.29505419969303,74.70504,82.38
61,61,422.16,25399259196.06024,3961871195533.3774,12.673556,12698923960848.416,13.5800302,24.823274856800662,75.14692,81.06
62,62,422.16,3126201098009.069,317347252566498.4,12.6343898,1262043123276705.2,13.509981,24.920373762610424,75.52624,82.04
63,63,416.24,634494533.069554,56181880583.01773,12.559413,140313346051.1058,13.3679656,24.872308261522495,75.73088,79.86
64,64,421.02,208419388411.6549,32211903344621.133,12.312868,104209188166449.61,13.1152198,24.33339663824597,76.26828,86.84
65,65,420.24,3254121111.03076,264719409527.2698,12.2532394,1508041684166.992,13.0638146,24.32198486172541,77.21792,85.58
66,66,421.0,504053739.72334,76897401685.81833,12.1765706,245838946148.242,12.9991014,24.316707831599075,78.19868,90.16
67,67,420.06,195905062700.25824,30943134178657.645,12.068881,97952513625247.52,12.899104,24.130820879456213,79.05996,90.26
68,68,419.46,164049074572.90204,18942453616758.816,11.987704,52769802781813.5,12.84368,24.031610172142024,80.21268,90.16
69,69,420.1,3654117554.090554,444135537919.3913,11.928989,1708189351398.0083,12.7509614,23.879006647310774,81.35928,88.6
70,70,416.62,311661688845.61395,48992595290683.94,11.8761016,155825433870061.75,12.6660936,23.577426760856838,82.57568,87.68
71,71,421.22,530988468.169578,80958033297.977,11.7888276,264275344239.7014,12.6716086,23.530329022263583,83.80416,90.8
72,72,419.38,27594767423.327515,3986471526906.6963,11.7139036,12599587012466.71,12.5708154,23.48673628600794,84.89284,87.08
73,73,419.74,973517815.927808,91625516553.91504,11.515424,368134748389.801,12.2991856,23.109003803400615,85.60572,90.06
74,74,420.32,11049945.968568,1006304707.0490513,11.3703868,5498514542.5026,12.1663106,22.849593151090108,86.35792,94.3
75,75,422.92,425174429000.9083,67154638129785.45,11.3158636,212582981355719.94,12.1013346,22.812414257603994,87.10248,92.72
76,76,419.98,26574094144.467285,4171945506882.7515,11.214246600000001,13273871297413.943,12.051945,22.87265573093492,88.2692,97.9
77,77,418.32,875936003.743046,132900074928.27847,11.178434,437928492212.1972,12.0088302,22.812348153266377,89.755,96.74
78,78,417.9,1191535916578.2095,173223132619778.06,11.1567562,568308427431957.5,11.9523958,22.649027731786187,91.0168,98.8
79,79,419.4,25374899632.11848,3887742196918.8896,11.120151,12341536115740.303,11.876543,22.536334632516795,92.08444,96.92
80,80,419.34,466041.349906,33143226.927168246,10.9987412,153912521.5684,11.749679,22.36178985292644,93.2282,97.7
81,81,420.28,41032111423.41854,6473677077038.0205,10.951543000000001,20508734723018.844,11.6805376,22.12355231815433,93.75556,98.78
82,82,420.48,72301543950.55127,10636682051017.723,10.7789546,33578338479468.72,11.4828562,21.80289121892713,94.78232,104.06
83,83,418.26,508824860.341698,77702569921.48701,10.788018,249586430553.0034,11.5508142,22.351559197170427,95.38696,102.16
84,84,422.0,81465146.28776,8034937142.147117,10.6716432,39382663784.932,11.4951518,22.20978467760266,96.04336,102.8
85,85,422.54,24570013594.787155,3877236714430.754,10.632962,12280296706652.492,11.6156006,25.201492858424636,96.7312,107.34
86,86,420.8,299136895.466152,44615771884.69871,10.530098,149536786844.658,11.2539632,21.597019199043185,97.22904,109.94
87,87,420.86,27294813.331348,2343393003.5879974,10.4756246,13583281937.538,11.2199582,21.82886703241545,97.919,108.66
88,88,420.0,9131160052412.266,1441196757213905.2,10.4095848,4562089964829932.0,11.128606,21.487382648773025,98.70268,110.98
89,89,418.9,13610478.554656,2045571367.1954124,10.3234088,6757575800.445,11.764404,51.33889356614836,99.15868,108.24
90,90,420.42,1165263304377.768,184044339118126.12,10.2489348,582629426802825.8,11.7298816,51.401029639633826,99.88832000000001,109.42
91,91,420.68,84684823.06164,12842542258.28347,10.2287216,42295662888.5748,11.7462242,51.39036003405621,101.30976,111.84
92,92,422.14,630589664628.0803,93260806411240.11,10.1374094,315295142186713.3,11.6231942,51.289600823766165,103.35488,115.66
